row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PS-PS_neg_53.mzML Peak height,CG-C13_neg_52.mzML Peak height,MI-B14_neg_49.mzML Peak height,CG-C22_neg_50.mzML Peak height,MI-B24_neg_47.mzML Peak height,QC_neg_45.mzML Peak height,MI-ML_neg_48.mzML Peak height,QC_neg_56.mzML Peak height,QC_neg_51.mzML Peak height,PB_neg_42.mzML Peak height,CG-CG_neg_55.mzML Peak height,ASP-ASP_neg_54.mzML Peak height,QC_neg_46.mzML Peak height,
35,164.9313344849466,0.24023333,,,,,,,,,,,0,0,38295.57,0,0,0,0,0,0,0,0,0,0,
36,164.93363885255087,0.2430375,,,,,,,,,,,0,34254.914,0,33122.297,29889.79,32893.387,0,0,0,0,0,0,0,
37,143.86502215356276,0.24115278,,,,,,,,,,,17250.441,10435.278,0,9469.601,10958.683,11325.224,14692.392,13005.822,14073.688,12256.91,13164.632,11337.916,12871.045,
38,150.94710498262017,0.24684359,,,,,,,,,,,22029.35,15246.939,12774.24,15069.723,7529.764,18723.113,21427.902,20289.5,19291.54,18223.73,23974.033,18710.867,22129.158,
39,141.8679707775086,0.24214305,,,,,,,,,,,22310.87,16901.072,18257.605,16856.451,16907.715,20554.775,20616.637,21029.453,20758.56,0,23627.102,20766.95,17849.25,
40,164.93539065619672,0.24497962,,,,,,,,,,,37556.37,0,0,33122.297,0,0,32657.191,28722.223,30288.834,31445.93,30130.248,35915.94,40098.812,
41,128.87779709027805,0.25068203,,,,,,,,,,,26368.059,14610.456,12713.741,15402.581,7588.5317,22159.018,20051.959,23478.17,23994.777,8169.6724,19580.7,19593.273,24532.479,
42,294.88965360828144,0.24662001,,,,,,,,,,,5630.544,22109.621,28699.66,22364.973,12855.331,18607.44,0,13077.562,0,6947.748,0,10646.0,10111.016,
43,170.87050529328678,0.2511606,,,,,,,,,,,38726.582,26949.625,27286.207,28072.941,0,32633.033,34807.016,37078.04,29956.953,0,31745.082,33475.633,33500.766,
44,148.94975740056412,0.24940385,,,,,,,,,,,44919.836,32303.768,24516.736,33472.76,19991.258,43880.45,48844.805,39530.402,39346.594,28691.225,45997.695,40236.35,40806.363,
45,166.92710449205003,0.249825,,,,,,,,,,,0,0,11099.534,0,11213.7,0,0,0,0,0,0,0,0,
46,126.88075018578812,0.25132176,,,,,,,,,,,40489.746,22666.037,21286.076,22787.396,13946.928,37138.473,36985.316,35666.465,37671.215,12460.292,31192.898,34238.254,36390.027,
48,392.8937975753791,0.25257915,,,,,,,,,,,10908.78,0,18044.717,0,0,15398.25,0,14734.903,15385.427,2978.9944,0,8542.048,18760.43,
49,172.86752199539956,0.2508597,,,,,,,,,,,20607.438,16812.82,0,15364.313,9416.062,25208.018,20822.469,20902.566,21699.465,6683.348,17278.814,19639.408,21700.664,
51,136.90949076412792,0.2572483,,,,,,,,,,,7420.4956,8165.535,0,10674.812,0,12202.984,10721.847,11503.562,10352.249,0,9550.935,10557.98,9526.612,
52,264.9279696193172,0.25254306,,,,,,,,,,,40944.32,22512.025,23479.621,25546.322,3154.12,45780.098,76148.26,49016.797,49262.812,0,86974.37,29508.055,50317.004,
53,288.93636691989553,0.25580385,,,,,,,,,,,39261.227,113877.984,268786.78,148974.95,31284.604,112132.73,78421.56,113108.2,111271.305,14941.931,89684.73,50767.457,104088.21,
54,304.9122256707791,0.254035,,,,,,,,,,,0,42604.402,143486.16,56006.758,24167.387,27626.768,0,23423.572,24707.227,8705.41,0,17283.008,22428.154,
55,114.9888239979605,0.25580257,,,,,,,,,,,96380.836,67860.56,66757.05,80640.31,21993.389,114325.47,150836.55,109346.945,106967.32,37854.438,184321.0,81227.65,111935.45,
56,500.91878266753247,0.25387162,,,,,,,,,,,19308.34,0,3229.212,7991.3096,0,21447.295,55536.277,26575.334,25437.305,0,84837.484,7101.1943,24738.45,
57,386.93939982555366,0.25480974,,,,,,,,,,,63569.0,18963.82,16177.391,34195.297,0,80936.695,161797.31,86936.234,89524.21,10592.238,214447.27,31762.34,80772.62,
58,272.9590914663084,0.25644362,,,,,,,,,,,300388.8,131591.84,178519.8,200284.28,13581.763,452926.94,804365.3,414860.28,441595.47,36135.523,1106918.6,216992.17,417322.03,
59,273.96030637761584,0.25644362,,,,,,,,,,,94656.03,40589.285,55982.195,60318.645,5621.8164,120526.0,214897.86,114333.65,125985.84,8462.189,289925.4,67395.234,110481.59,
60,274.95758009771146,0.25644362,,,,,,,,,,,100981.67,42660.848,55416.016,62985.906,4829.255,132900.77,229376.48,127212.445,123000.43,10035.923,306594.56,68897.445,126541.29,
61,178.97754410494443,0.26092437,,,,,,,,,,,13577.178,42109.332,66173.42,60771.89,27159.15,30054.0,24691.953,46067.12,38638.453,16672.482,18163.846,18379.7,40290.49,
62,159.9798580545404,0.25772306,,,,,,,,,,,64523.5,38095.066,44682.297,50847.727,17474.582,71765.234,92960.26,67428.875,71710.664,25499.229,127968.27,48096.867,72845.57,
64,160.97691581145452,0.2583628,,,,,,,,,,,58226.477,38708.38,36466.707,47338.55,12888.573,66464.805,86590.945,67456.414,74579.1,28003.645,112367.555,52052.324,66929.48,
65,158.9785984193328,0.25836408,,,,,,,,,,,413282.16,239478.73,246581.56,287168.0,83315.02,453054.6,600646.4,466469.25,485055.47,156553.5,858239.2,319622.0,477242.72,
66,116.9867362922937,0.25619444,,,,,,,,,,,15384.735,9061.852,11276.585,12061.3125,0,16449.637,22388.57,16239.261,16134.8955,5198.2246,27295.773,12042.554,15588.455,
67,206.97266067279452,0.2608653,,,,,,,,,,,33701.324,86020.37,182996.83,145974.17,15831.003,67328.83,72810.91,109912.18,114214.38,0,56475.492,40950.574,112175.16,
68,162.98262602512463,0.26104814,,,,,,,,,,,0,9542.223,17998.889,12828.73,0,8376.309,9059.736,10390.608,9074.409,0,6041.4263,0,9880.758,
69,454.92677973540077,0.26224628,,,,,,,,,,,7992.4736,0,0,0,0,9988.497,24139.41,10253.694,9695.038,10937.213,29880.543,7910.133,10972.325,
70,115.98996761418576,0.25708336,,,,,,,,,,,13837.209,9937.013,11256.165,10900.701,4485.3,18483.402,20348.926,14433.412,17496.314,5193.1494,28720.934,12905.114,19902.926,
71,215.86878579436305,0.25332594,,,,,,,,,,,0,13911.948,17126.266,16106.09,0,18535.959,13766.962,14576.877,18893.623,0,0,16620.84,13761.333,
72,175.9683480415427,0.25475162,,,,,,,,,,,32335.043,18497.959,0,20171.717,0,37216.61,58439.31,36869.133,41045.434,0,69122.56,24235.17,36854.15,
74,578.8681204764137,0.26897857,,,,,,,,,,,0,0,0,0,0,0,5763.564,5261.579,4939.464,17148.082,2684.1287,9024.805,6584.597,
75,646.8548583661934,0.2648208,,,,,,,,,,,5054.128,0,0,0,0,5260.0615,3360.559,5197.951,5246.0547,13892.627,3512.108,6482.4497,0,
76,226.96585236257562,0.26476666,,,,,,,,,,,234967.08,42982.824,34066.867,40203.555,15543.762,247912.97,295444.6,211318.67,210845.36,77982.97,390393.78,199866.05,218215.53,
77,228.96436954418823,0.26433942,,,,,,,,,,,41209.145,6995.5396,5805.307,0,0,39289.8,53845.754,31744.13,35379.89,12791.545,60899.363,33708.35,35874.26,
78,227.967272534852,0.2641269,,,,,,,,,,,41498.926,8283.557,6173.3423,7266.023,2951.4185,42499.043,55072.695,35459.566,36197.2,12198.396,64597.945,35968.09,42006.223,
79,242.94077663600285,0.26627916,,,,,,,,,,,0,77275.08,94647.086,96853.23,28453.898,0,0,0,0,0,0,0,0,
80,258.9165534972664,0.26537916,,,,,,,,,,,2844.893,31638.26,60791.81,36077.46,24623.264,2069.7566,2366.28,0,0,3146.7012,0,0,0,
81,326.9016797799569,0.26869583,,,,,,,,,,,0,48102.39,63598.902,68899.734,17920.238,0,0,6019.337,0,6603.72,1815.5804,3152.961,0,
82,522.9136254267288,0.26689583,,,,,,,,,,,11478.786,0,0,0,0,9955.638,20887.896,14254.322,12919.222,12198.189,27815.113,9104.379,0,
83,242.94283157930434,0.26323473,,,,,,,,,,,16694.14,17561.424,17269.973,0,28453.898,37695.05,17476.664,31614.865,33444.668,15786.852,23103.81,23697.97,36392.586,
84,394.88998349406563,0.26604873,,,,,,,,,,,7968.6157,24577.229,23374.783,28792.848,5738.8877,9262.287,8883.814,10071.955,10192.584,14791.061,8065.282,10035.916,10342.761,
85,294.9534228314936,0.26684242,,,,,,,,,,,154656.9,1516.1907,0,0,1972.2751,157130.28,186744.56,121077.77,114860.37,54924.973,197730.94,152562.83,164976.88,
