"Filename",24-Ml4 20012023.mzData,23-Ml3 20012023.mzData,32-QC 20012023-4.mzData,28-Ps1 20012023.mzData,27-QC 20012023-3.mzData,31-Ps4 20012023.mzData,20-QC 20012023-2.mzData,30-Ps3 20012023.mzData,29-Ps2 20012023.mzData,16-Cg3 20012023.mzData,17-Cg4 20012023.mzData,15-Cg2 20012023.mzData,13-QC 20012023-1.mzData,14-Cg1 20012023.mzData,21-Ml1 20012023.mzData,10-Asp4 20012023.mzData,7-Asp1 20012023.mzData,22-Ml2 20012023.mzData,8-Asp2 20012023.mzData,6-QC 20012023.mzData,9-Asp3 20012023.mzData,4-PB 20012023.mzData
run_date,,,,,,,,,,,,,,,,,,,,,,
79/60.9907mz/3.16min,605.0,610.0,1585.0,2028.0,1425.0,1596.0,1292.0,1710.0,1914.0,785.0,719.0,838.0,1289.0,727.0,753.0,1722.0,1884.0,654.0,1878.0,1254.0,1727.0,1923.0
82/77.0012mz/3.16min,278.0,258.0,454.0,420.0,399.0,521.0,330.0,420.0,439.0,366.0,396.0,366.0,290.0,353.0,284.0,348.0,329.0,322.0,340.0,292.0,356.0,434.0
83/82.0017mz/3.16min,153.0,111.0,340.0,182.0,156.0,343.0,110.0,375.0,306.0,118.0,164.0,143.0,145.0,113.0,126.0,154.0,148.0,207.0,170.0,145.0,146.0,97.0
85/59.0060mz/3.16min,2257.0,2632.0,3671.0,2746.0,3178.0,2855.0,3622.0,2661.0,2804.0,3370.0,3727.0,3812.0,3855.0,3454.0,2636.0,6012.0,6895.0,2596.0,6978.0,3561.0,5754.0,2826.0
86/72.0333mz/3.17min,282.0,298.0,1053.0,317.0,888.0,293.0,852.0,307.0,267.0,2159.0,1944.0,2003.0,874.0,1927.0,307.0,1379.0,1520.0,289.0,1336.0,958.0,1534.0,405.0
89/87.0485mz/3.17min,760.0,802.0,953.0,1506.0,1366.0,704.0,1647.0,824.0,1015.0,994.0,1007.0,1071.0,1634.0,998.0,841.0,1295.0,1508.0,856.0,1414.0,1546.0,1274.0,535.0
90/117.0690mz/3.17min,420.0,468.0,606.0,406.0,527.0,466.0,500.0,479.0,423.0,466.0,460.0,462.0,497.0,561.0,437.0,378.0,419.0,505.0,460.0,502.0,526.0,468.0
92/74.0120mz/3.17min,1351.0,1364.0,2049.0,6054.0,2954.0,1928.0,4537.0,2895.0,3697.0,1491.0,1719.0,1790.0,4823.0,1564.0,1783.0,2649.0,3801.0,937.0,3313.0,4780.0,2953.0,116.0
93/89.0497mz/3.17min,4503.0,5855.0,7091.0,4917.0,6338.0,5183.0,6692.0,5553.0,4952.0,6215.0,4943.0,5897.0,6175.0,6750.0,5417.0,4827.0,5495.0,5575.0,5649.0,6586.0,6546.0,5875.0
