row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PB_neg_5.mzML Peak height,Cg2_neg_12.mzML Peak height,Cg1_neg_13.mzML Peak height,Ps2_neg_14.mzML Peak height,Cg3_neg_10.mzML Peak height,Asp3_neg_19.mzML Peak height,Ps1_neg_20.mzML Peak height,Asp2_neg_16.mzML Peak height,Asp1_neg_18.mzML Peak height,Ml1_neg_9.mzML Peak height,Ps3_neg_21.mzML Peak height,Ml3_neg_17.mzML Peak height,Ml2_neg_11.mzML Peak height,QC_neg_7.mzML Peak height,QC_neg_22.mzML Peak height,QC_neg_8.mzML Peak height,QC_neg_15.mzML Peak height,QC_neg_24.mzML Peak height,
10,240.96088592851686,0.24540444,,,,,,,,,,,0,0,0,5885.1763,1610.3884,11894.478,4307.8223,9771.003,9930.9,2086.4712,7680.9033,10607.016,7729.5093,10407.563,7580.5557,8715.505,7450.248,6996.6445,
16,196.94394935851602,0.24505554,,,,,,,,,,,36573.43,20279.75,55264.9,94034.39,42360.016,841897.1,90053.02,108258.46,471714.6,64210.105,448576.84,133991.03,123979.016,128444.58,112905.875,120309.98,112871.02,106399.914,
19,238.96731028657254,0.24320276,,,,,,,,,,,6902.064,1980.6691,13092.528,17268.736,7297.8613,29025.414,16786.943,28451.164,28613.84,12897.713,27916.09,28924.895,22548.756,28110.188,25439.785,28574.133,25188.79,27684.38,
20,210.9722000140221,0.24327354,,,,,,,,,,,2761.9578,0,5414.254,6754.175,3181.28,15811.139,7279.629,14557.294,14232.462,4507.2847,14915.779,14292.401,11370.398,11537.964,12554.357,13339.748,12681.774,13169.284,
22,266.95188087172085,0.24320279,,,,,,,,,,,42948.49,7687.8633,75482.75,101656.61,43619.523,266736.7,111604.21,225854.88,223496.36,68134.66,261294.89,267766.5,173774.25,227950.86,208491.36,221092.3,205856.14,226098.86,
25,252.93059578939565,0.24505,,,,,,,,,,,0,0,3195.3813,4454.0444,2257.2266,17765.51,4882.8887,16277.611,14972.65,2973.1646,18995.338,16969.049,9398.193,11949.064,12117.011,14460.132,12457.396,13489.482,
26,270.9412140471708,0.24425589,,,,,,,,,,,1621.5204,0,4639.03,6777.423,2276.8877,27716.598,8275.32,28717.512,23226.783,4666.456,26452.46,31891.387,18828.469,21803.932,21282.559,21044.074,21131.15,20437.742,
27,326.9312907750772,0.24327452,,,,,,,,,,,9336.041,0,22755.418,35665.242,6957.311,143699.12,38185.84,120314.83,109710.41,21658.646,130002.03,139836.7,72347.695,104720.445,98454.33,104593.29,93038.05,109937.92,
28,198.94092760509605,0.25014374,,,,,,,,,,,13934.119,8074.766,18264.096,32598.56,12833.599,281356.75,33621.0,277260.44,152758.52,17446.348,163334.12,43942.707,40918.54,0,37200.402,0,42351.805,33514.043,
29,298.93610640957513,0.24376471,,,,,,,,,,,8707.826,0,15853.976,25388.373,6651.16,102051.31,29112.0,95771.83,79798.31,22185.156,83312.39,102121.64,54022.04,70801.52,75532.67,75034.83,71593.74,75964.03,
30,544.8485352209235,0.24595974,,,,,,,,,,,3952.8901,0,0,0,0,63157.055,0,58381.414,45905.85,0,53861.355,69632.79,21727.033,43655.695,35582.688,40650.656,30234.883,34410.37,
31,210.96204665291896,0.24459444,,,,,,,,,,,29072.547,5136.668,50291.26,70951.45,29235.354,176397.67,74163.99,167939.58,148681.53,54116.336,162793.23,175895.8,124058.42,150201.14,149241.2,144469.05,136619.4,144102.88,
32,280.9254271304741,0.2442559,,,,,,,,,,,4635.1836,0,8388.635,13453.38,3860.7856,62308.266,16650.77,53404.297,49003.914,9310.077,49048.13,61470.543,31172.107,39753.785,40786.277,41299.0,39627.164,42346.047,
33,308.92041033031643,0.2442559,,,,,,,,,,,4745.945,0,12309.98,17214.012,4305.157,66488.266,14995.267,55429.703,54398.336,8530.015,54749.902,65708.01,36062.793,49130.29,45451.695,46412.79,42657.85,48498.39,
34,354.9262137132198,0.24282889,,,,,,,,,,,6016.2363,0,0,20201.229,0,81652.45,25530.113,81051.67,66110.4,13774.27,78108.01,86142.984,47146.438,62330.617,67214.08,65264.258,59199.484,65276.38,
