"Filename",PS-PS_neg_53.mzML,CG-C13_neg_52.mzML,MI-B14_neg_49.mzML,CG-C22_neg_50.mzML,MI-B24_neg_47.mzML,QC_neg_45.mzML,MI-ML_neg_48.mzML,QC_neg_56.mzML,QC_neg_51.mzML,PB_neg_42.mzML,CG-CG_neg_55.mzML,ASP-ASP_neg_54.mzML,QC_neg_46.mzML
run_date,2022-08-05T02:23:43,2022-08-05T02:12:16,2022-08-05T01:37:57,2022-08-05T01:49:23,2022-08-05T01:15:05,2022-08-05T00:52:12,2022-08-05T01:26:31,2022-08-05T02:58:01,2022-08-05T02:00:50,2022-08-05T00:17:53,2022-08-05T02:46:36,2022-08-05T02:35:09,2022-08-05T01:03:39
37/143.8650mz/0.24min,17250.44140625,10435.2783203125,,9469.6005859375,10958.6826171875,11325.2236328125,14692.3916015625,13005.822265625,14073.6884765625,12256.91015625,13164.6318359375,11337.916015625,12871.044921875
38/150.9471mz/0.25min,22029.349609375,15246.939453125,12774.240234375,15069.72265625,7529.76416015625,18723.11328125,21427.90234375,20289.5,19291.5390625,18223.73046875,23974.033203125,18710.8671875,22129.158203125
39/141.8680mz/0.24min,22310.869140625,16901.072265625,18257.60546875,16856.451171875,16907.71484375,20554.775390625,20616.63671875,21029.453125,20758.560546875,,23627.1015625,17323.705078125,17849.25
40/164.9355mz/0.25min,37556.37109375,,,,,,32657.19140625,28722.22265625,30288.833984375,31445.9296875,30130.248046875,35915.94140625,
41/128.8778mz/0.25min,26368.05859375,14610.4560546875,12713.7412109375,15402.5810546875,7588.53173828125,22159.017578125,20051.958984375,23478.169921875,23994.77734375,8169.67236328125,19580.69921875,19593.2734375,24532.478515625
43/170.8705mz/0.25min,38726.58203125,26949.625,27286.20703125,28072.94140625,,32633.033203125,34807.015625,37078.0390625,29956.953125,,31745.08203125,33475.6328125,33500.765625
44/148.9498mz/0.25min,44919.8359375,32303.767578125,24516.736328125,33472.76171875,19991.2578125,43880.44921875,48844.8046875,39530.40234375,39346.59375,28691.224609375,45997.6953125,40236.3515625,40806.36328125
48/392.8940mz/0.25min,10908.7802734375,,,,,15398.25,,14734.9033203125,15385.4267578125,2978.994384765625,,8542.0478515625,18760.4296875
53/288.9364mz/0.26min,39261.2265625,113877.984375,268786.78125,148974.953125,31284.603515625,112132.7265625,78421.5625,113108.203125,111271.3046875,14941.9306640625,89684.7265625,50767.45703125,104088.2109375
54/304.9125mz/0.25min,,42604.40234375,143486.15625,56006.7578125,24167.38671875,27626.767578125,,23423.572265625,,8705.41015625,,17283.0078125,
55/114.9888mz/0.26min,96380.8359375,67860.5625,66757.046875,80640.3125,21993.388671875,114325.46875,150836.546875,109346.9453125,106967.3203125,37854.4375,184321.0,81227.6484375,111935.453125
57/386.9394mz/0.25min,63569.0,18963.8203125,16177.390625,34195.296875,,80936.6953125,161797.3125,86936.234375,89524.2109375,10592.23828125,214447.265625,31762.33984375,80772.6171875
58/272.9591mz/0.26min,300388.8125,131591.84375,178519.796875,200284.28125,13581.7626953125,452926.9375,804365.3125,414860.28125,441595.46875,36135.5234375,1106918.625,216992.171875,417322.03125
59/273.9603mz/0.26min,94656.03125,40589.28515625,55982.1953125,60318.64453125,5621.81640625,120526.0,214897.859375,114333.6484375,125985.84375,8462.189453125,289925.40625,67395.234375,110481.59375
60/274.9576mz/0.26min,100981.671875,42660.84765625,55416.015625,62985.90625,4829.2548828125,132900.765625,229376.484375,127212.4453125,123000.4296875,10035.9228515625,306594.5625,68897.4453125,126541.2890625
62/159.9799mz/0.26min,64523.5,38095.06640625,44682.296875,50847.7265625,17474.58203125,71765.234375,92960.2578125,67428.875,71710.6640625,25499.228515625,127968.2734375,48096.8671875,72845.5703125
64/160.9769mz/0.26min,58226.4765625,38708.37890625,36466.70703125,47338.55078125,12888.5732421875,66464.8046875,86590.9453125,67456.4140625,74579.1015625,28003.64453125,112367.5546875,52052.32421875,66929.4765625
65/158.9786mz/0.26min,413282.15625,239478.734375,246581.5625,287168.0,83315.0234375,453054.59375,600646.375,466469.25,485055.46875,156553.5,858239.1875,319622.0,477242.71875
